net,length_um
top_I.branch\[0\].check_mask.l_spine_ow\[24\],2.1453mm
top_I.branch\[0\].check_mask.l_spine_ow\[23\],2.14446mm
top_I.branch\[0\].check_mask.l_spine_ow\[22\],2.14362mm
top_I.branch\[0\].check_mask.l_spine_ow\[21\],2.14278mm
top_I.branch\[0\].check_mask.l_spine_ow\[20\],2.14194mm
top_I.branch\[0\].check_mask.l_spine_ow\[19\],2.1411mm
top_I.branch\[0\].check_mask.l_spine_ow\[18\],2.14026mm
top_I.branch\[0\].check_mask.l_spine_ow\[17\],2.13942mm
top_I.branch\[0\].check_mask.l_spine_ow\[16\],2.13858mm
top_I.branch\[0\].check_mask.l_spine_ow\[15\],2.13774mm
top_I.branch\[0\].check_mask.l_spine_ow\[14\],2.1369mm
top_I.branch\[0\].check_mask.l_spine_ow\[13\],2.13606mm
top_I.branch\[0\].check_mask.l_spine_ow\[12\],2.13522mm
top_I.branch\[0\].check_mask.l_spine_ow\[11\],2.13438mm
top_I.branch\[0\].check_mask.l_spine_ow\[10\],2.13354mm
top_I.branch\[0\].check_mask.l_spine_ow\[9\],2.1327mm
top_I.branch\[0\].check_mask.l_spine_ow\[8\],2.13186mm
top_I.branch\[0\].check_mask.l_spine_ow\[7\],2.13102mm
top_I.branch\[0\].check_mask.l_spine_ow\[6\],2.13018mm
top_I.branch\[0\].check_mask.l_spine_ow\[5\],2.12934mm
top_I.branch\[0\].check_mask.l_spine_ow\[4\],2.1285mm
top_I.branch\[0\].check_mask.l_spine_ow\[3\],2.12766mm
top_I.branch\[0\].check_mask.l_spine_ow\[2\],2.12682mm
top_I.branch\[0\].check_mask.l_spine_ow\[1\],2.12598mm
top_I.branch\[0\].check_mask.l_spine_ow\[0\],2.12514mm
top_I.branch\[0\].check_mask.l_spine_iw\[29\],2.1243mm
top_I.branch\[0\].check_mask.l_spine_iw\[28\],2.12346mm
top_I.branch\[0\].check_mask.l_spine_iw\[27\],2.12262mm
top_I.branch\[0\].check_mask.l_spine_iw\[26\],2.12178mm
top_I.branch\[0\].check_mask.l_spine_iw\[25\],2.12094mm
top_I.branch\[0\].check_mask.l_spine_iw\[24\],2.1201mm
top_I.branch\[0\].check_mask.l_spine_iw\[23\],2.11926mm
top_I.branch\[0\].check_mask.l_spine_iw\[22\],2.11842mm
top_I.branch\[0\].check_mask.l_spine_iw\[21\],2.11758mm
top_I.branch\[0\].check_mask.l_spine_iw\[20\],2.11674mm
top_I.branch\[0\].check_mask.l_spine_iw\[19\],2.1159mm
top_I.branch\[0\].check_mask.l_spine_iw\[18\],2.11506mm
top_I.branch\[0\].check_mask.l_spine_iw\[17\],2.11422mm
top_I.branch\[0\].check_mask.l_spine_iw\[16\],2.11338mm
top_I.branch\[0\].check_mask.l_spine_iw\[15\],2.11254mm
top_I.branch\[0\].check_mask.l_spine_iw\[14\],2.1117mm
top_I.branch\[0\].check_mask.l_spine_iw\[13\],2.11086mm
top_I.branch\[0\].check_mask.l_spine_iw\[12\],2.11002mm
top_I.branch\[0\].check_mask.l_spine_iw\[11\],2.10918mm
top_I.branch\[0\].check_mask.l_spine_iw\[10\],2.10834mm
top_I.branch\[0\].check_mask.l_spine_iw\[9\],2.1075mm
top_I.branch\[0\].check_mask.l_spine_iw\[8\],2.10666mm
top_I.branch\[0\].check_mask.l_spine_iw\[7\],2.10582mm
top_I.branch\[0\].check_mask.l_spine_iw\[6\],2.10498mm
top_I.branch\[0\].check_mask.l_spine_iw\[5\],2.10414mm
top_I.branch\[0\].check_mask.l_spine_iw\[4\],2.1033mm
top_I.branch\[0\].check_mask.l_spine_iw\[3\],2.10246mm
top_I.branch\[0\].check_mask.l_spine_iw\[2\],2.10162mm
top_I.branch\[0\].check_mask.l_spine_iw\[1\],2.10078mm
top_I.branch\[0\].check_mask.l_spine_iw\[0\],2.09994mm
