net,length_um
top_I.branch\[16\].check_mask.block\[7\].um_I.ow\[17\],3.78µm
top_I.branch\[16\].check_mask.block\[7\].um_I.ow\[18\],3.78µm
top_I.branch\[16\].check_mask.block\[7\].um_I.ow\[19\],3.78µm
top_I.branch\[16\].check_mask.block\[7\].um_I.ow\[1\],3.78µm
top_I.branch\[16\].check_mask.block\[7\].um_I.ow\[20\],3.78µm
top_I.branch\[16\].check_mask.block\[7\].um_I.ow\[21\],3.78µm
top_I.branch\[16\].check_mask.block\[7\].um_I.ow\[22\],3.78µm
top_I.branch\[16\].check_mask.block\[7\].um_I.ow\[23\],3.78µm
top_I.branch\[16\].check_mask.block\[7\].um_I.ow\[2\],3.78µm
top_I.branch\[16\].check_mask.block\[7\].um_I.ow\[3\],3.78µm
top_I.branch\[16\].check_mask.block\[7\].um_I.ow\[4\],3.78µm
top_I.branch\[16\].check_mask.block\[7\].um_I.ow\[5\],3.78µm
top_I.branch\[16\].check_mask.block\[7\].um_I.ow\[6\],3.78µm
top_I.branch\[16\].check_mask.block\[7\].um_I.ow\[7\],3.78µm
top_I.branch\[16\].check_mask.block\[7\].um_I.ow\[8\],3.78µm
top_I.branch\[16\].check_mask.block\[7\].um_I.ow\[9\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.clk,3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ena,3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.iw\[10\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.iw\[11\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.iw\[12\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.iw\[13\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.iw\[14\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.iw\[15\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.iw\[16\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.iw\[17\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.iw\[1\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.iw\[2\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.iw\[3\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.iw\[4\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.iw\[5\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.iw\[6\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.iw\[7\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.iw\[8\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.iw\[9\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[0\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[10\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[11\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[12\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[13\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[14\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[15\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[16\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[17\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[18\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[19\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[1\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[20\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[21\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[22\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[23\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[2\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[3\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[4\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[5\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[6\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[7\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[8\],3.78µm
top_I.branch\[16\].check_mask.block\[9\].um_I.ow\[9\],3.78µm
top_I.branch\[14\].check_mask.l_addr\[3\],3.44µm
top_I.branch\[15\].check_mask.l_addr\[3\],3.44µm
top_I.branch\[8\].check_mask.l_addr\[2\],3.44µm
top_I.branch\[9\].check_mask.l_addr\[2\],3.44µm
