Instance,Terminal,Layer,X location,Y location,Voltage
IO_FILL_IO_WEST_2_190,vdd,Metal1,293.7250,963.0000,1.199999
IO_FILL_IO_WEST_4_0,vdd,Metal1,293.7250,1341.0000,1.199998
IO_FILL_IO_WEST_3_190,vdd,Metal1,293.7250,1235.0000,1.199998
IO_FILL_IO_WEST_5_0,vdd,Metal1,293.7250,1613.0000,1.199998
IO_FILL_IO_WEST_4_190,vdd,Metal1,293.7250,1507.0000,1.199998
IO_FILL_IO_WEST_6_0,vdd,Metal1,293.7250,1885.0000,1.199998
IO_FILL_IO_WEST_5_190,vdd,Metal1,293.7250,1779.0000,1.199998
IO_FILL_IO_WEST_7_0,vdd,Metal1,293.7250,2157.0000,1.199997
IO_FILL_IO_WEST_6_190,vdd,Metal1,293.7250,2051.0000,1.199997
IO_FILL_IO_WEST_8_0,vdd,Metal1,293.7250,2429.0000,1.199997
IO_FILL_IO_WEST_7_190,vdd,Metal1,293.7250,2323.0000,1.199997
IO_FILL_IO_WEST_9_0,vdd,Metal1,293.7250,2701.0000,1.199997
IO_FILL_IO_WEST_8_190,vdd,Metal1,293.7250,2595.0000,1.199997
IO_FILL_IO_WEST_10_0,vdd,Metal1,293.7250,2973.0000,1.199996
IO_FILL_IO_WEST_9_190,vdd,Metal1,293.7250,2867.0000,1.199996
IO_FILL_IO_WEST_11_0,vdd,Metal1,293.7250,3245.0000,1.199996
IO_FILL_IO_WEST_10_190,vdd,Metal1,293.7250,3139.0000,1.199996
IO_FILL_IO_WEST_12_0,vdd,Metal1,293.7250,3517.0000,1.199995
IO_FILL_IO_WEST_11_190,vdd,Metal1,293.7250,3411.0000,1.199995
IO_FILL_IO_WEST_13_0,vdd,Metal1,293.7250,3789.0000,1.199994
IO_FILL_IO_WEST_12_190,vdd,Metal1,293.7250,3683.0000,1.199995
IO_FILL_IO_WEST_14_0,vdd,Metal1,293.7250,4061.0000,1.199993
IO_FILL_IO_WEST_13_190,vdd,Metal1,293.7250,3955.0000,1.199993
IO_FILL_IO_WEST_15_0,vdd,Metal1,293.7250,4333.0000,1.199991
IO_FILL_IO_WEST_14_190,vdd,Metal1,293.7250,4227.0000,1.199992
IO_FILL_IO_WEST_16_0,vdd,Metal1,293.7250,4605.0000,1.199988
IO_FILL_IO_WEST_15_190,vdd,Metal1,293.7250,4499.0000,1.199990
IO_FILL_IO_SOUTH_16_50,vdd,Metal1,3275.0000,293.7250,1.199998
IO_FILL_IO_SOUTH_15_100,vdd,Metal1,3137.0000,293.7250,1.199998
IO_FILL_IO_SOUTH_15_50,vdd,Metal1,3111.0000,293.7250,1.199998
IO_FILL_IO_SOUTH_14_100,vdd,Metal1,2953.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_14_50,vdd,Metal1,2927.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_13_100,vdd,Metal1,2769.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_13_50,vdd,Metal1,2743.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_12_100,vdd,Metal1,2585.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_12_50,vdd,Metal1,2559.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_11_100,vdd,Metal1,2401.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_11_50,vdd,Metal1,2375.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_10_100,vdd,Metal1,2217.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_10_50,vdd,Metal1,2191.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_9_100,vdd,Metal1,2033.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_9_50,vdd,Metal1,2007.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_8_100,vdd,Metal1,1849.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_8_50,vdd,Metal1,1823.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_7_100,vdd,Metal1,1665.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_7_50,vdd,Metal1,1639.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_6_100,vdd,Metal1,1481.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_6_50,vdd,Metal1,1455.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_5_100,vdd,Metal1,1297.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_5_50,vdd,Metal1,1271.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_4_100,vdd,Metal1,1113.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_4_50,vdd,Metal1,1087.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_3_100,vdd,Metal1,929.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_3_50,vdd,Metal1,903.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_2_100,vdd,Metal1,745.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_2_50,vdd,Metal1,719.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_1_100,vdd,Metal1,561.0000,293.7250,1.199998
IO_FILL_IO_SOUTH_1_50,vdd,Metal1,535.0000,293.7250,1.199998
IO_FILL_IO_SOUTH_0_0,vdd,Metal1,345.0000,293.7250,1.199999
IO_FILL_IO_SOUTH_10_0,vdd,Metal1,2141.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_9_102,vdd,Metal1,2035.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_9_0,vdd,Metal1,1957.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_8_102,vdd,Metal1,1851.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_8_0,vdd,Metal1,1773.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_7_102,vdd,Metal1,1667.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_7_0,vdd,Metal1,1589.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_6_102,vdd,Metal1,1483.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_6_0,vdd,Metal1,1405.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_5_102,vdd,Metal1,1299.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_5_0,vdd,Metal1,1221.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_4_102,vdd,Metal1,1115.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_4_0,vdd,Metal1,1037.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_3_102,vdd,Metal1,931.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_3_0,vdd,Metal1,853.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_2_102,vdd,Metal1,747.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_2_0,vdd,Metal1,669.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_1_102,vdd,Metal1,563.0000,293.7250,1.199998
IO_FILL_IO_SOUTH_16_0,vdd,Metal1,3245.0000,293.7250,1.199998
IO_FILL_IO_SOUTH_15_102,vdd,Metal1,3139.0000,293.7250,1.199998
IO_FILL_IO_SOUTH_15_0,vdd,Metal1,3061.0000,293.7250,1.199998
IO_FILL_IO_SOUTH_14_102,vdd,Metal1,2955.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_14_0,vdd,Metal1,2877.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_13_102,vdd,Metal1,2771.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_13_0,vdd,Metal1,2693.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_12_102,vdd,Metal1,2587.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_12_0,vdd,Metal1,2509.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_11_102,vdd,Metal1,2403.0000,293.7250,1.199997
IO_FILL_IO_SOUTH_11_0,vdd,Metal1,2325.0000,293.7250,1.199997
